doc_id,file_name,packet,document_type,evidence_role,text_length,chunk_count,has_text
DOC_672F3875D726,hershey_sustainable_sugar_sourcing_policy.pdf,sugar,pdf_document,direct_company_evidence,1889,1,True
DOC_E5889DB5914A,Sugar-The-Hershey-Company-05-06-2026_02_22_PM.pdf,sugar,pdf_document,direct_company_evidence,14,1,True
DOC_0CCBAF9E6D49,ASR_Group_logo.svg,sugar,image_or_logo,visual_asset,0,0,False
DOC_257C2CABB7C1,Group3-Tables-US-Sugar-Crop-Production-and-Sugar-Production-Deliveries-and-Stocks.csv,sugar,csv_table,unknown,8590,4,True
DOC_D24FEC8E2E35,usda_ers_sugar_market_outlook_latest.pdf,sugar,pdf_document,benchmark_proxy,14,1,True
DOC_E2CBD160658D,usda_ers_sugar_outlook_latest_pdf.pdf,sugar,pdf_document,benchmark_proxy,25236,16,True
DOC_6F01C5426EEB,usda_ers_sugar_sweeteners_yearbook_tables.xlsx,sugar,excel_workbook,benchmark_proxy,139785,22,True
DOC_32FA1CD834CD,sugar_cane_beet_processing_explanation.pdf,sugar,pdf_document,process_or_function_context,49228,27,True
DOC_71CE92D20645,hershey_distribution_center_logistics_reference.pdf,logistics_distribution,pdf_document,direct_company_evidence,122,1,True
DOC_FDA0D8F4DCE2,mclane_company_facts_reference.pdf,logistics_distribution,pdf_document,supplier_relationship_context,14,1,True
DOC_050BBCAC6B3F,mclane_company_profile.pdf,logistics_distribution,pdf_document,supplier_relationship_context,14,1,True
DOC_0C6FF4D0AACE,mclane_grocery_retail_distribution_page.pdf,logistics_distribution,pdf_document,supplier_relationship_context,14,1,True
DOC_940D070C225C,bls_warehousing_storage_ppi_benchmark.pdf,logistics_distribution,pdf_document,benchmark_proxy,14,1,True
DOC_1EB5146FBACE,bls_truck_transportation_ppi_benchmark.pdf,logistics_distribution,pdf_document,benchmark_proxy,14,1,True
DOC_89FEEC7103A9,eia_diesel_price_benchmark.pdf,logistics_distribution,pdf_document,benchmark_proxy,14,1,True
DOC_C1E296D7AAAC,trucking_rate_market_reference.pdf,logistics_distribution,pdf_document,benchmark_proxy,14,1,True
DOC_55B0E1DB0BD6,common_carrier_freight_explanation.pdf,logistics_distribution,pdf_document,process_or_function_context,14,1,True
DOC_88DAB6FD44D8,cpg_distribution_center_explanation.pdf,logistics_distribution,pdf_document,process_or_function_context,215,1,True
DOC_41FA1AC07EDD,retail_wholesale_distribution_explanation.pdf,logistics_distribution,pdf_document,process_or_function_context,86,1,True
DOC_3C7D40BBDFD0,mclane_logo_asset.png,logistics_distribution,image_or_logo,visual_asset,0,0,False
DOC_F203E734500B,PCU484484.xlsx,logistics_distribution,excel_workbook,unknown,2762,1,True
DOC_11A00D6495C0,PCU49314931.xlsx,logistics_distribution,excel_workbook,unknown,2830,1,True
DOC_4ED7D04B1CB5,pswrgvwall.xls,logistics_distribution,excel_workbook,unknown,522504,38,True
DOC_01971A613130,WPU09150336.csv,logistics_distribution,csv_table,unknown,717,1,True
DOC_0D21678E3116,cvs_hershey_1_55oz_price_page.pdf,retail_price_evidence,pdf_document,retail_price_evidence,14,1,True
DOC_4D6583498B7A,target_hershey_1_55oz_price_page.pdf,retail_price_evidence,pdf_document,retail_price_evidence,14,1,True
DOC_5E90ED0F32AB,walgreens_hershey_1_55oz_price_page.pdf,retail_price_evidence,pdf_document,retail_price_evidence,14,1,True
DOC_1F6D46FB75CC,walmart_hershey_1_55oz_price_page.pdf,retail_price_evidence,pdf_document,retail_price_evidence,14,1,True
DOC_AB943BE3F9BC,hershey_company_logo.png,brand_logo_assets,image_or_logo,visual_asset,0,0,False
DOC_7AD7B5853282,Hersheyland-Explore-Hershey-Products.pdf,reference_only,pdf_document,reference_only,14,1,True
