doc_id,file_name,packet,document_type,ocr_needed,image_count,pages_ocr_attempted,pages_ocr_success,total_visual_ocr_text_length,total_visual_ocr_chunks,visual_ocr_json_path,combined_visual_ocr_text_path
DOC_6ECEDE6AFBC2,epa_hershey_land_o_lakes_pa_dairy_farms_2m_commitment.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,True,1,1,1,5969,3,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_6ECEDE6AFBC2.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_6ECEDE6AFBC2.visual_ocr.txt
DOC_6F01C5426EEB,usda_ers_sugar_sweeteners_yearbook_tables.xlsx,sugar,excel_workbook,False,0,0,0,0,0,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_6F01C5426EEB.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_6F01C5426EEB.visual_ocr.txt
DOC_71BF5D9AF123,barry_callebaut_hershey_supply_agreement_page.pdf,cocoa_chocolate_cocoa_butter,pdf_document,True,1,1,1,4221,3,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_71BF5D9AF123.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_71BF5D9AF123.visual_ocr.txt
DOC_71CE92D20645,hershey_distribution_center_logistics_reference.pdf,logistics_distribution,pdf_document,True,7,7,7,10070,7,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_71CE92D20645.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_71CE92D20645.visual_ocr.txt
DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,pdf_document,True,1,1,1,71,1,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_73F44125570A.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_73F44125570A.visual_ocr.txt
DOC_74966F03A6A3,hershey_sugar_sourcing_page.pdf,sugar,pdf_document,True,1,1,1,6184,4,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_74966F03A6A3.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_74966F03A6A3.visual_ocr.txt
DOC_75DA5EE841E9,hershey_sustainable_dairy_pa_2021_press_release.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,True,1,1,1,6942,4,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_75DA5EE841E9.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_75DA5EE841E9.visual_ocr.txt
DOC_7A2EEB1A9F31,soy_lecithin_market_price_reference.pdf,soy_lecithin,pdf_document,True,1,1,1,2230,2,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_7A2EEB1A9F31.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_7A2EEB1A9F31.visual_ocr.txt
DOC_7AD7B5853282,Hersheyland-Explore-Hershey-Products.pdf,reference_only,pdf_document,True,1,1,1,3728,2,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_7AD7B5853282.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_7AD7B5853282.visual_ocr.txt
DOC_7FED8B7042EA,usda_ams_dairy_market_news_weekly_report_latest.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,True,1,1,1,519,1,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_7FED8B7042EA.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_7FED8B7042EA.visual_ocr.txt
DOC_88DAB6FD44D8,cpg_distribution_center_explanation.pdf,logistics_distribution,pdf_document,True,12,12,12,11873,7,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_88DAB6FD44D8.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_88DAB6FD44D8.visual_ocr.txt
DOC_89FEEC7103A9,eia_diesel_price_benchmark.pdf,logistics_distribution,pdf_document,True,1,1,1,4506,3,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_89FEEC7103A9.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_89FEEC7103A9.visual_ocr.txt
DOC_8E60E28B0A31,efsa_pgpr_e476_reevaluation.pdf,pgpr,pdf_document,True,30,30,30,66645,40,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_8E60E28B0A31.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_8E60E28B0A31.visual_ocr.txt
