doc_id,file_name,packet,document_type,evidence_role,ai_input_mode,priority_score,selected_chunk_count,has_page_images,has_tables,needs_visual_review,level1_input_path
DOC_71CE92D20645,hershey_distribution_center_logistics_reference.pdf,logistics_distribution,pdf_document,direct_company_evidence,visual_priority,81,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_71CE92D20645.level1_input.json
DOC_26064332B82F,hershey_pulp_paper_page.pdf,packaging_wrapper,pdf_document,direct_company_evidence,visual_priority,76,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_26064332B82F.level1_input.json
DOC_FDA0D8F4DCE2,mclane_company_facts_reference.pdf,logistics_distribution,pdf_document,supplier_relationship_context,visual_priority,76,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_FDA0D8F4DCE2.level1_input.json
DOC_050BBCAC6B3F,mclane_company_profile.pdf,logistics_distribution,pdf_document,supplier_relationship_context,visual_priority,76,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_050BBCAC6B3F.level1_input.json
DOC_0C6FF4D0AACE,mclane_grocery_retail_distribution_page.pdf,logistics_distribution,pdf_document,supplier_relationship_context,visual_priority,76,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_0C6FF4D0AACE.level1_input.json
DOC_7FED8B7042EA,usda_ams_dairy_market_news_weekly_report_latest.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,benchmark_proxy,text_plus_page_images,71,6,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_7FED8B7042EA.level1_input.json
DOC_2D8BE31DFAC8,icco_cocoa_butter_powder_faq.pdf,cocoa_chocolate_cocoa_butter,pdf_document,benchmark_proxy,text_plus_page_images,68,3,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_2D8BE31DFAC8.level1_input.json
DOC_66F839469130,hershey_pulp_and_paper_sourcing_data.pdf,packaging_wrapper,pdf_document,supplier_relationship_context,text_only,68,3,True,False,False,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_66F839469130.level1_input.json
DOC_C5BF7969016D,hershey_pulp_paper_supplier_mill_list.pdf,packaging_wrapper,pdf_document,supplier_relationship_context,text_only,68,3,True,False,False,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_C5BF7969016D.level1_input.json
DOC_F976C0BE2B9A,usda_fas_cote_divoire_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,pdf_document,benchmark_proxy,text_only,67,7,False,False,False,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_F976C0BE2B9A.level1_input.json
DOC_9C88D07C6DBF,usda_ams_advanced_class_prices_latest.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,benchmark_proxy,text_only,67,7,False,False,False,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_9C88D07C6DBF.level1_input.json
DOC_6F01C5426EEB,usda_ers_sugar_sweeteners_yearbook_tables.xlsx,sugar,excel_workbook,benchmark_proxy,table_summary_plus_text,67,7,False,True,False,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_6F01C5426EEB.level1_input.json
DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,pdf_document,direct_company_evidence,text_plus_page_images,66,6,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_73F44125570A.level1_input.json
DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,pdf_document,benchmark_proxy,text_only,66,6,False,False,False,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_033AA20F1EE1.level1_input.json
DOC_FD5AB5AB5E8F,icco_cocoa_statistics_page.pdf,cocoa_chocolate_cocoa_butter,pdf_document,benchmark_proxy,visual_priority,66,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_FD5AB5AB5E8F.level1_input.json
DOC_1E80FF9B816E,icco_processing_cocoa_page.pdf,cocoa_chocolate_cocoa_butter,pdf_document,benchmark_proxy,visual_priority,66,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_1E80FF9B816E.level1_input.json
DOC_E2BE0206EF0C,usda_ams_class_iv_milk_price_reference.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,benchmark_proxy,text_plus_page_images,66,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_E2BE0206EF0C.level1_input.json
DOC_D24FEC8E2E35,usda_ers_sugar_market_outlook_latest.pdf,sugar,pdf_document,benchmark_proxy,visual_priority,66,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_D24FEC8E2E35.level1_input.json
DOC_E2CBD160658D,usda_ers_sugar_outlook_latest_pdf.pdf,sugar,pdf_document,benchmark_proxy,text_only,66,6,False,False,False,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_E2CBD160658D.level1_input.json
DOC_A5418FB79897,usda_ams_national_dairy_products_sales_report_latest.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,benchmark_proxy,text_only,65,5,True,False,False,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_A5418FB79897.level1_input.json
DOC_9232C3E84540,usda_ams_dairy_monthly_averages_latest.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,benchmark_proxy,text_only,63,3,True,False,False,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_9232C3E84540.level1_input.json
DOC_CA4CD5A61616,hershey_2025_10k_full.pdf,hershey_company,pdf_document,direct_company_evidence,text_plus_page_images,62,2,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_CA4CD5A61616.level1_input.json
DOC_920988DD536E,Dairy-The-Hershey-Company-05-06-2026_02_22_PM.pdf,hershey_company,pdf_document,direct_company_evidence,visual_priority,61,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_920988DD536E.level1_input.json
DOC_4798F11F2524,Palm-Oil-The-Hershey-Company-05-06-2026_02_22_PM.pdf,hershey_company,pdf_document,direct_company_evidence,visual_priority,61,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_4798F11F2524.level1_input.json
DOC_381414594006,Pulp-Paper-The-Hershey-Company-05-06-2026_02_23_PM.pdf,hershey_company,pdf_document,direct_company_evidence,visual_priority,61,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_381414594006.level1_input.json
DOC_6152C93503AC,hershey_responsible_sourcing_cocoa_page.pdf,hershey_company,pdf_document,direct_company_evidence,visual_priority,61,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_6152C93503AC.level1_input.json
DOC_940D070C225C,bls_warehousing_storage_ppi_benchmark.pdf,logistics_distribution,pdf_document,benchmark_proxy,visual_priority,61,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_940D070C225C.level1_input.json
DOC_1EB5146FBACE,bls_truck_transportation_ppi_benchmark.pdf,logistics_distribution,pdf_document,benchmark_proxy,visual_priority,61,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_1EB5146FBACE.level1_input.json
DOC_89FEEC7103A9,eia_diesel_price_benchmark.pdf,logistics_distribution,pdf_document,benchmark_proxy,visual_priority,61,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_89FEEC7103A9.level1_input.json
